DateTime_CET,Discharge_HVS_m3_s,Discharge_Maasmond_m3_s,Discharge_NWW_m3_s
1/01/2023 0:00,-368.4510498,1611.462646,-1173.603149
1/01/2023 0:10,-305.6265564,2036.277954,-790.1954346
1/01/2023 0:20,-226.8013458,2804.769287,-430.8044434
1/01/2023 0:30,-88.10095978,3763.087158,-69.00335693
1/01/2023 0:40,423.6252441,4659.216309,323.0253601
1/01/2023 0:50,1066.056885,5313.22998,758.1838989
1/01/2023 1:00,1482.102661,5727.816406,1231.351074
1/01/2023 1:10,1831.53479,5913.796875,1718.113037
1/01/2023 1:20,2103.089844,5827.577148,2189.987305
1/01/2023 1:30,2340.647705,5748.224609,2625.766113
1/01/2023 1:40,2554.803955,5670.092285,3013.150391
1/01/2023 1:50,2724.282959,5678.713867,3345.915771
1/01/2023 2:00,2858.057129,5939.962402,3625.954834
1/01/2023 2:10,2988.218262,6305.939453,3857.630371
1/01/2023 2:20,3122.904297,6738.287109,4045.373535
1/01/2023 2:30,3245.344971,6878.440918,4200.544922
1/01/2023 2:40,3345.802246,6518.505859,4342.5
1/01/2023 2:50,3425.566162,5907.696289,4469.773438
1/01/2023 3:00,3489.277832,5362.13623,4560.695801
1/01/2023 3:10,3534.484131,5028.143066,4589.900879
1/01/2023 3:20,3557.686768,4831.083496,4551.10498
1/01/2023 3:30,3560.161377,4729.902344,4469.05127
1/01/2023 3:40,3549.207275,4696.500488,4371.458008
1/01/2023 3:50,3534.034912,4995.140625,4262.252441
1/01/2023 4:00,3515.241699,5561.398926,4148.508301
1/01/2023 4:10,3484.105713,5859.572754,4049.902588
1/01/2023 4:20,3440.800781,5773.369629,3998.016602
1/01/2023 4:30,3397.424316,5535.739258,4016.190918
1/01/2023 4:40,3362.506348,5371.199707,4080.83667
1/01/2023 4:50,3339.008301,5393.641113,4147.88623
1/01/2023 5:00,3328.804932,5340.215332,4205.458984
1/01/2023 5:10,3327.146729,5142.250977,4260.237305
1/01/2023 5:20,3323.245117,5003.316895,4315.384766
1/01/2023 5:30,3309.263672,5014.090332,4368.687012
1/01/2023 5:40,3281.237305,5214.058594,4402.905762
1/01/2023 5:50,3246.883057,5444.463867,4406.46582
1/01/2023 6:00,3217.840088,5401.239746,4400.054199
1/01/2023 6:10,3194.518066,4934.313965,4406.508301
1/01/2023 6:20,3166.86792,4125.891113,4416.759277
1/01/2023 6:30,3118.259033,3124.947021,4390.484375
1/01/2023 6:40,3034.653809,2093.831787,4276.472168
1/01/2023 6:50,2911.682861,1191.994873,4054.773926
1/01/2023 7:00,2750.050049,317.8338013,3743.280029
1/01/2023 7:10,2545.406006,-420.2980652,3356.73999
1/01/2023 7:20,2284.27417,-831.7821045,2901.397461
1/01/2023 7:30,1954.137695,-1218.689087,2381.310547
1/01/2023 7:40,1534.260376,-1843.232056,1807.522339
1/01/2023 7:50,326.8028564,-2827.202393,1219.71582
1/01/2023 8:00,65.42034149,-4302.995117,640.0808105
1/01/2023 8:10,-317.4528198,-6064.762207,30.86787796
1/01/2023 8:20,-469.0959167,-7454.69043,-657.0818481
1/01/2023 8:30,-576.0583496,-8344.165039,-1439.135376
1/01/2023 8:40,-656.1867676,-8752.438477,-2280.305908
1/01/2023 8:50,-718.0966797,-8616.283203,-3078.424561
1/01/2023 9:00,-772.1096802,-8073.044922,-3759.473145
1/01/2023 9:10,-811.088501,-7160.688965,-4315.777832
1/01/2023 9:20,-843.3110962,-6307.130859,-4717.710938
1/01/2023 9:30,-860.2460327,-5808.066895,-4941.340332
