Receiver_location,Transmitter_location
Aardappelengat A5,Aardappelengat A5 trans
Aardappelengat A6,Aardappelengat A6 trans
Aardappelengat A4,Aardappelengat A4 trans
Amer A3,NA
Amer A5,NA
BeerKanaal B1,BeerKanaal B1 trans
Beneden Merwede BE 1A,NA
Beneden Merwede BE 2,NA
Beningen BN 6,NA
Beningen BN 5,Beningen BN 5 trans
CalandKanaal CA4,CalandKanaal CA4 trans
Dordtsche Kil D 1,NA
Dordtsche Kil D 2A,NA
Haringvliet HV 25,NA
Haringvliet HV 26,Haringvliet HV 26 trans
Haringvliet HV3,Haringvliet HV3 trans
Haringvliet HV5,Haringvliet HV5 trans
Haringvliet HV7,Haringvliet HV7 trans
Haringvliet HV2A,Haringvliet HV2A trans
Haringvliet HD-G,Haringvliet HD-G trans
Haringvliet HD-H,NA
Haringvliet HD-I,NA
Haringvliet HD-B,NA
Haringvliet HD-C,Haringvliet HD-C trans
Haringvliet HD-D,NA
Haringvliet HD-E,NA
Haringvliet HD-F,NA
Hartelkanaal SB-B,Hartelkanaal SB-B trans
Hartelkanaal SB-E,NA
Hitsertse of Vuile Gat VG 5,NA
Hitsertse of Vuile Gat VG 8,Hitsertse of Vuile Gat VG 8 trans
Hollands Diep HD 33,NA
Hollands Diep HD 30,Hollands Diep HD 30 trans
Maasmond Maas 5,Maasmond Maas 5 trans
Maasmond CA2-NW1,Maasmond CA2-NW1 trans
Maasmond Maas 4,Maasmond Maas 4 trans
Maasvlakte-Maasgeul Maas1,NA
Maasvlakte-Maasgeul MV N,NA
Maasvlakte-Maasgeul MV A,NA
Maasvlakte-Maasgeul MVB,NA
Maasvlakte-Maasgeul MVC,NA
Nieuwe Maas NM 23,NA
Nieuwe Maas NM 21,NA
Nieuwe Merwede NM 8,NA
Nieuwe Merwede NM 6,NA
NieuweWaterweg NW3,NieuweWaterweg NW3 trans
NieuweWaterweg NW2,NieuweWaterweg NW2 trans
NieuweWaterweg NW25,NieuweWaterweg NW25 trans
NieuweWaterweg NW8,NieuweWaterweg NW8 trans
Noord N4,NoordPampus P8 trans
Noord N2,NA
NoordPampus P8,NoordPampus P8 trans
NoordPampus P7,NoordPampus P7 trans
NoordPampus P6,NoordPampus P6 trans
NoordPampus P1,NoordPampus P1 trans
NoordPampus P4,NoordPampus P4 trans
NoordPampus P9,NoordPampus P9 trans
NoordPampus P10,NoordPampus P10 trans
Noordzee HP-WNB 15A,NA
Oude Maas O 57,NA
Oude Maas O 59,NA
Oude Maas BB A,NA
Oude Maas BB-C,Oude Maas BB-C trans
Oude Maas BB-E,NA
Slijkgat HS8,Slijkgat HS8 trans
Slijkgat HS6,Slijkgat HS6 trans
Slijkgat HS4,Slijkgat HS4 trans
Slijkgat HS2,Slijkgat HS2 trans
Slijkgat SG7,Slijkgat SG7 trans
Slijkgat SG12,Slijkgat SG12 trans
Slijkgat SG6,Slijkgat SG6 trans
Slijkgat SG2,NA
Spui SP 4,Spui SP 4 trans
Spui SP 6,NA
Zuid Hollandsch Diep 5,NA
Zuid Hollandsch Diep 3,Zuid Hollandsch Diep 3 trans
Goereesesluis ZOUT,NA
Goereesesluis ZOET,NA
Bunker,NA
AMER - ZUIDERGAT,NA
AMER - NOORDERGAT,AMER - NOORDERGAT trans
