"","Aardappelengat A5","Aardappelengat A6","Aardappelengat A4","Amer A3","Amer A5","BeerKanaal B1","Beneden Merwede BE 1A","Beneden Merwede BE 2","Beningen BN 6","Beningen BN 5","CalandKanaal CA4","Dordtsche Kil D 1","Dordtsche Kil D 2A","Haringvliet HV 25","Haringvliet HV 26","Haringvliet HV3","Haringvliet HV5","Haringvliet HV7","Haringvliet HV2A","Haringvliet HD-G","Haringvliet HD-H","Haringvliet HD-I","Haringvliet HD-B","Haringvliet HD-C","Haringvliet HD-D","Haringvliet HD-E","Haringvliet HD-F","Hartelkanaal SB-B","Hartelkanaal SB-E","Hitsertse of Vuile Gat VG 5","Hitsertse of Vuile Gat VG 8","Hollands Diep HD 33","Hollands Diep HD 30","Maasmond Maas 5","Maasmond CA2-NW1","Maasmond Maas 4","Maasvlakte-Maasgeul Maas1","Maasvlakte-Maasgeul MV N","Maasvlakte-Maasgeul MV A","Maasvlakte-Maasgeul MVB","Maasvlakte-Maasgeul MVC","Nieuwe Maas NM 23","Nieuwe Maas NM 21","Nieuwe Merwede NM 8","Nieuwe Merwede NM 6","NieuweWaterweg NW3","NieuweWaterweg NW2","NieuweWaterweg NW25","NieuweWaterweg NW8","Noord N4","Noord N2","NoordPampus P8","NoordPampus P7","NoordPampus P6","NoordPampus P1","NoordPampus P4","NoordPampus P9","NoordPampus P10","Noordzee HP-WNB 15A","Oude Maas O 57","Oude Maas O 59","Oude Maas BB A","Oude Maas BB-C","Oude Maas BB-E","Slijkgat HS8","Slijkgat HS6","Slijkgat HS4","Slijkgat HS2","Slijkgat SG7","Slijkgat SG12","Slijkgat SG6","Slijkgat SG2","Spui SP 4","Spui SP 6","Zuid Hollandsch Diep 5","Zuid Hollandsch Diep 3","Goereesesluis ZOUT","Goereesesluis ZOET","Bunker","AMER - ZUIDERGAT","AMER - NOORDERGAT"
"Aardappelengat A5",0,258.748640132918,924.667204357068,43417.1786870468,44335.1700077401,20040.6995962371,45794.5532684296,45428.9068237052,8929.5790623459,8862.47632974562,20523.7114186779,35174.2939107522,35339.5429945281,10360.8005242865,10680.6636628309,1731.73654381013,2065.68544670626,2506.2354255669,2721.44451073584,5699.66513374207,5731.53029725557,5880.96316190559,5725.36913088539,5699.4143064193,5683.1841214804,5677.87121895989,5677.81272759333,15656.0304992548,15548.9177400234,11687.0791332273,11599.6978633799,31689.4391835025,31475.5422651829,20596.6365762883,20902.8083803015,21428.1919507486,22267.8465283998,23164.3630795139,17733.3720152308,20376.1453335184,23363.1194422412,33304.1887943323,32867.2355763692,41413.8111396068,40865.5784984581,20688.0909192976,21055.6369210542,18052.2837479965,18413.9984193751,37218.0811167208,36881.0568587793,7217.17073896261,7341.04516302009,8113.76896221883,10277.0202081139,9433.85453980067,6887.50180283752,6752.99173402861,15590.1141524298,37680.9632698936,37846.6643668836,16759.2629761888,16864.8239453294,16956.3919488863,6424.96122596916,6405.70497658143,6396.56982061431,6406.48882479559,13984.1849974299,11386.1538375537,14787.7637363359,16720.6478300981,21832.5584684265,21638.6869484486,31722.032600373,31833.8465398599,6454.29689206173,5858.95527667374,11992.5612667716,40774.515706993,41253.5739526851
"Aardappelengat A6",258.748640132918,0,771.78648968479,43346.9571480973,44263.8698305375,19827.0130717657,45669.7857901081,45302.9498064875,8859.48597235,8790.76155139582,20308.1150637563,35083.4188280906,35244.2121768733,10394.6780199785,10702.311160356,1508.86697640955,1809.06513858387,2251.13994655095,2462.76024346397,5629.52920511761,5652.60026001341,5796.1738539264,5701.22233623251,5665.78797999501,5640.53459265027,5626.11844971863,5616.65336619903,15432.0582579913,15321.5983275011,11679.8122232942,11581.3450501429,31663.8924197584,31447.5268362503,20387.2669038928,20690.8173611329,21215.9146254639,22077.7737194669,22985.9325412811,17618.2645080055,20251.4946132776,23208.6534085935,33114.9219879031,32676.6742937475,41336.1460269388,40791.3906544295,20472.0436409499,20838.4322054054,17807.69375158,18168.6110813398,37058.9562624068,36718.9755409585,7159.18961311431,7288.7724579014,8034.68188857573,10220.5134441094,9352.93316326871,6853.13282398512,6716.38844168654,15461.9348458545,37552.0765909893,37717.1323119558,16545.4361703419,16651.1098749024,16742.8230157524,6391.52914809729,6357.89449757498,6334.92606035532,6331.16884921787,14005.9009010981,11371.5047713417,14799.419313404,16739.5722723492,21677.2614019982,21484.6845458283,31702.0157232304,31814.8356754796,6448.94147197785,5856.21535231259,11858.8400955091,40707.8659830198,41186.8327620891
"Aardappelengat A4",924.667204357068,771.78648968479,0,43901.8739468527,44816.3693489895,19140.4447777812,46089.2257843289,45719.0403271119,9432.43797784714,9360.59131871521,19626.3273748239,35592.8934894325,35742.9325018153,11120.5738645681,11415.1929317163,906.003536503015,1483.61708110806,2133.92822509481,2215.43694540153,4885.51161277116,4901.2303443501,5040.348990779,5010.67696323224,4962.29851003986,4925.61595458901,4900.57974341122,4881.15881860551,14775.2225243211,14676.0629949922,12355.662620934,12241.1464624057,32304.8973803521,32084.451315644,19690.5054623833,20000.0652851257,20525.801075647,21346.1594545839,22239.7984517416,16847.4146116095,19479.7206132481,22443.8765143953,33314.5177641052,32870.9126177448,41875.0471474685,41338.0310228539,19791.4113003332,20160.8282869818,17242.1026528443,17608.0551441424,37372.286133205,37022.0946667504,6424.46474375733,6559.73742249178,7281.15300920716,9484.67534353541,8597.51139323357,6145.68843723637,6006.39969326916,14690.1769210435,37961.0027100334,38124.1461095043,16640.1305691964,16746.2654387588,16838.6283903749,5686.3039862748,5635.23018420074,5597.71452298447,5581.83717598205,13374.138091523,10684.4720670985,14149.9319105874,16101.1223314976,22009.6239133928,21821.497180969,32352.0031280106,32466.4095796185,5784.3053341181,5198.08131562579,11087.4543356085,41270.6652086185,41749.3818434973
"Amer A3",43417.1786870468,43346.9571480973,43901.8739468527,0,936.920930705058,53201.1136072863,10416.3558882397,10527.2726774908,34488.2299323112,34556.3469640487,53300.0375641281,8880.86589722621,9028.73409868488,34096.4918597651,33581.5025324143,43820.8672631328,43141.1572983011,42417.1479581208,42695.016906154,48302.3219063746,48229.0933447919,48286.0435399211,48754.056085759,48654.5783659845,48562.048270503,48472.920029405,48379.0894893678,49565.5008583278,49159.0644090909,32179.7683925515,32117.8522739313,13395.8002931046,13408.3026808689,54008.6558617773,53935.4539948076,54247.5411911306,56977.200338448,58610.7882332021,57716.3557918288,59587.7557662125,60472.2284164044,22844.4612449643,23160.0145207887,2376.13086139487,2640.48787429733,53353.6270357377,53453.8351282603,47883.8764919208,47880.8494932813,16670.9442295987,17262.1366434503,49805.8398595501,49988.4429852322,50308.6768827919,52625.3917660068,51439.6318840501,49761.6659295355,49613.841343881,55390.9678076085,11487.701784603,11525.5553028242,32438.0329771807,32372.9944112621,32311.9404956977,49336.4317469691,49179.0279032439,49019.9947234285,48862.963448045,57183.9813673176,54267.0436678161,57884.2600508336,59866.4036779391,24386.9407860971,24450.242861242,13770.4005531269,13759.9519024709,49588.1582188036,49028.8463542254,52264.7888736902,2708.58209975544,2240.8907039383
"Amer A5",44335.1700077401,44263.8698305375,44816.3693489895,936.920930705058,0,53992.5430978847,10162.1947967138,10309.718282702,35405.8141573853,35473.6175830215,54086.3563043704,9694.32597300723,9807.50943917241,35030.0549736255,34514.3642762463,44731.0251097493,44049.3771921636,43323.937647721,43600.0530926317,49206.5116821409,49132.3210207969,49188.2778279044,49662.716539421,49562.3619750373,49468.983375937,49378.9759684773,49284.220298668,50382.9447477838,49975.4206396314,33110.4025739057,33046.7012167619,14311.5304255958,14329.0121036431,54799.6073466702,54722.0726072456,55030.1570959034,57772.8957159161,59410.639987387,58575.5553023905,60433.6378391442,61288.721067001,23315.8917974462,23644.7253336936,3124.47097273269,3506.10728372929,54138.3450122385,54234.7998516494,48665.4462441413,48658.1025214167,17026.7791690073,17629.0767563073,50708.0139716667,50891.103274984,51205.8037421844,53521.4509650983,52333.0701169761,50667.38931644,50519.5277635262,56252.4129455922,11915.569711866,11939.4629616318,33243.9351137148,33177.6741793922,33115.5938241091,50243.0296458873,50084.0641366363,49923.4956416783,49764.8833670466,58091.5951433657,55169.4310147195,58789.0811518227,60771.747847892,25197.9952296631,25265.5446069313,14677.301844106,14664.0295253639,50497.7747005101,49939.4075280727,53138.160127114,3645.46376792015,3176.88069891579
"BeerKanaal B1",20040.6995962371,19827.0130717657,19140.4447777812,53201.1136072863,53992.5430978847,0,51608.0403270181,51177.7698254965,24281.2499106957,24193.7146870981,550.888844428098,44323.494585134,44185.0655229151,27947.1610600039,27939.0002579564,18318.7766904315,18228.5913938613,18295.9061913131,17889.878354507,16010.1972557246,15834.6979062824,15635.1046880545,16869.4226786218,16693.7279761986,16527.4719809919,16358.5035408352,16185.0477019547,4582.16100872995,4835.15656596954,28028.0109387096,27649.6101097388,44792.9155746648,44476.1037541041,808.94866732474,894.287957172218,1402.21646095117,3807.99141287662,5497.94292246629,9747.1432386983,9360.10972323124,7869.16613631875,34777.6772545143,34279.1937038724,50868.2737174834,50578.5598071898,726.371944327265,1130.62719661677,5412.63018416943,5510.15794993055,41024.1856381429,40465.8075576588,15443.854639172,15529.3518288405,14438.4948973695,14278.0144584138,13721.9471306372,16169.0204729954,16170.1582236869,9054.0231447204,43916.7990620951,44015.2511010299,20793.1943583776,20852.5789697391,20909.3595790508,16380.3259902367,16070.8079847936,15778.7802605735,15489.1036016315,17842.9678769626,15818.483517432,17490.1183505159,18504.8677312429,28842.6782817009,28796.4247906621,45088.6207387607,45239.7557075899,17017.215724133,17261.5614783851,10350.5910225545,50957.2390617344,51397.2403082516
"Beneden Merwede BE 1A",45794.5532684296,45669.7857901081,46089.2257843289,10416.3558882397,10162.1947967138,51608.0403270181,0,437.528360506618,37125.0180522054,37174.4113488456,51599.2401243669,12075.7162339907,11598.485122653,37877.3844440673,37303.2777409995,45806.5075012649,45058.348086388,44291.9917724018,44488.3973322407,49925.544921252,49814.3406230459,49829.7693445272,50558.9777629106,50423.028123965,50295.6444066864,50170.7742933949,50039.8744850784,48613.5401457312,48190.9640010018,35744.7240862058,35540.8574464256,20763.0365700691,20612.5203455897,52390.9870715821,52229.3493189556,52454.1002985219,55409.0649894282,57105.8103943113,57666.8730919943,59150.694298537,59307.9100385274,17562.960565744,18016.0232877881,9651.34868744074,10389.1031749464,51619.0333375405,51641.1160078965,46196.4457900688,46106.442733621,10807.6686087224,11422.5846774431,51315.4040744201,51513.9862343818,51610.8990379313,53842.8950901728,52582.5848805618,51418.7434127181,51272.3457610751,55442.807575322,8150.95805970992,7998.72938629722,31787.6165456856,31699.0595748723,31618.6773369199,51039.4312354315,50819.0532150303,50599.6683418462,50381.7711013954,58791.6556115177,55701.9842153589,59361.4141389507,61336.6716786069,24383.2577835987,24535.4034482658,21341.5514794052,21399.7457395874,51418.6534045084,50913.5980836326,52724.216295667,11578.5650534292,11422.0537776654
"Beneden Merwede BE 2",45428.9068237052,45302.9498064875,45719.0403271119,10527.2726774908,10309.718282702,51177.7698254965,437.528360506618,0,36772.5517301937,36821.4241974839,51168.1436831092,11847.9948530773,11356.1907053142,37555.2594379702,36980.06483488,45432.0042870763,44682.7951164623,43915.9871135057,44110.5253405195,49541.3038997632,49429.3854613387,49443.977405773,50178.1752219506,50041.530400087,49913.4854171704,49787.938849346,49656.3426573582,48189.8318489202,47767.1857804342,35418.8122714015,35211.1541945471,20616.730580556,20459.471193719,51960.4071872188,51798.1241344276,52022.2165052497,54978.4513502768,56675.4701632251,57251.9577232985,58730.5725172996,58880.1540627883,17126.1052049556,17578.9058521403,9666.15570758098,10390.240460319,51187.6843512936,51209.2048707114,45766.3565084812,45675.6860678288,10370.1402553164,10985.1043734464,50928.2944843224,51127.1087562146,51219.6729028461,53449.2540800993,52188.033108459,51034.5309875436,50888.2247278853,55029.8051843337,7768.04907054188,7612.52919866328,31375.0279144777,31286.2002376622,31205.6025268923,50656.3146420488,50434.7547958973,50214.2534592254,49995.2412005273,58403.7660040739,55311.7717164502,58970.8334580432,60945.3896390856,23990.2214539635,24143.8004902677,21202.2122594363,21263.451109984,51038.0000985479,50534.3071367333,52318.0234339979,11592.4236705884,11453.2160959218
"Beningen BN 6",8929.5790623459,8859.48597235,9432.43797784714,34488.2299323112,35405.8141573853,24281.2499106957,37125.0180522054,36772.5517301937,0,89.1480587197289,24641.5747238755,26277.4600676879,26460.9206028001,4144.91681576357,3910.65171576904,9436.22235652418,8821.98998402079,8163.60046479072,8505.25852095247,14039.3992547741,13996.6216726226,14084.6411837734,14370.9726364113,14292.0237785107,14220.8432251813,14155.2937580174,14087.8784550651,19726.582677614,19448.2147392383,3748.07625830503,3393.6761324615,22971.8010216258,22737.1261321853,25005.3335153236,25172.5535664652,25654.83976735,27382.9285099977,28652.9876500658,24993.380871663,27374.5495062792,29566.7088178531,26022.7084448681,25635.9737125881,32486.4060193259,31936.1746987469,24773.5856964584,25060.7928917386,20471.0411078191,20722.2530978345,29101.050071802,28828.628968797,15585.7866824251,15751.5987089632,16247.9946870904,18562.439690234,17490.3953771342,15442.0125959783,15296.315009012,22671.5123314403,29074.2633048831,29247.3185775789,11381.1251240723,11466.1084628175,11537.3665370102,14997.9039390552,14882.6139198118,14769.2532828877,14663.3522206147,22789.7123312929,19998.9594648458,23540.8765435673,25505.9350357066,13838.6085064701,13619.2933430184,23055.7116930168,23177.1189845928,15181.5630293367,14606.7454381846,19141.7916354057,31848.4256222775,32327.3802918701
"Beningen BN 5",8862.47632974562,8790.76155139582,9360.59131871521,34556.3469640487,35473.6175830215,24193.7146870981,37174.4113488456,36821.4241974839,89.1480587197289,0,24554.3402324573,26338.717535163,26520.5784209945,4212.68844031445,3985.55578849014,9359.62716188659,8743.11238661968,8082.83913901268,8423.41827088939,13960.7760007246,13917.4088280114,14004.9066603575,14295.4236279275,14215.82989395,14144.0443106383,14077.88871814,14009.8552492526,19638.6842857109,19360.5713387337,3836.08829651377,3482.66946323759,23051.7832000339,22816.6071604909,24917.5600130835,25085.0684442055,25567.5007920516,27294.2679622038,28564.0208286425,24906.143765649,27286.4626138354,29477.595447757,26035.7236904221,25647.9054443956,32552.2796561133,32003.1085111137,24686.4393800023,24973.8671650166,20387.7206676574,20639.4236196588,29133.0327081479,28858.9554627859,15506.6975649425,15672.8379149802,16166.7617104573,18481.6800471541,17408.2091552548,15364.8964929108,15219.1230196022,22584.0072167517,29120.765258959,29293.5699741072,11350.4193620992,11435.8706266816,11507.5652348942,14921.1761902418,14804.8655722588,14690.5511135389,14583.7219367933,22715.4398415824,19921.4415158682,23465.3018002425,25430.9250231645,13862.2968724895,13643.5274513634,23136.8133284171,23258.4032292923,15106.9514971203,14532.6760444367,19054.9950548956,31917.5864305336,32396.5109308171
