Transmitter_location,Owner,Power_setting,Power_output_dB,Position,Comments
Aardappelengat A5 trans,WMR,Low,142,Spar,
Aardappelengat A6 trans,WMR,Medium,148,Spar,
Aardappelengat A4 trans,WMR,Medium,148,Spar,
BeerKanaal B1 trans,WMR,Medium,148,Boei,
Beningen BN 5 trans,SVN,Low/Medium,148,Spar,Low naar medium op 15 Maart 2023
CalandKanaal CA4 trans,WMR,Low,142,Boei,
Haringvliet HV 26 trans,SVN,Low,142,Spar,
Haringvliet HV3 trans,WMR,Medium,148,Spar,
Haringvliet HV5 trans,WMR,Medium,148,Spar,
Haringvliet HV7 trans,WMR,Medium,148,Spar,
Haringvliet HV2A trans,WMR,Low,142,Spar,
Haringvliet HD-G trans,SVN,Low/Medium,148,Spar,
Haringvliet HD-C trans,SVN,Low/Medium,148,Spar,
Hartelkanaal SB-B trans,SVN,Low,142,Spar,Removed
Hitsertse of Vuile Gat VG 8 trans,SVN,Low,142,Boei,
Hollands Diep HD 30 trans,SVN,Low,142,Boei,
Maasmond Maas 5 trans,WMR,Medium,148,Boei,
Maasmond CA2-NW1 trans,WMR,Low,142,Boei,
Maasmond Maas 4 trans,WMR,Medium,148,Boei,
NieuweWaterweg NW3 trans,WMR,Low,142,Boei,
NieuweWaterweg NW2 trans,WMR,Medium,148,Boei,
NieuweWaterweg NW25 trans,WMR,Medium,148,Spar,
NieuweWaterweg NW8 trans,WMR,Low,142,Boei,
NoordPampus P8 trans,WMR,Medium,148,Boei,
NoordPampus P7 trans,WMR,Low,142,Boei,CT meter RWS
NoordPampus P6 trans,WMR,Medium,148,Boei,Gewicht verloren voor meting Januari
NoordPampus P1 trans,WMR,Medium,148,Boei,
NoordPampus P4 trans,WMR,Medium,148,Boei,Gewicht verloren voor meting Januari
NoordPampus P9 trans,WMR,Medium,148,Boei,
NoordPampus P10 trans,WMR,Low,142,Boei,
Oude Maas BB-C trans,SVN,Low/Medium,148,Spar,Low naar medium op 5 April 2023
Slijkgat HS8 trans,WMR,Low,142,Ton,
Slijkgat HS6 trans,WMR,Medium,148,Ton,
Slijkgat HS4 trans,WMR,Medium,148,Ton,
Slijkgat HS2 trans,WMR,Low,142,Ton,CT meter RWS
Slijkgat SG7 trans,WMR,Low,142,Boei,Gewicht verloren voor meting oktober
Slijkgat SG12 trans,WMR,Medium,148,Boei,
Slijkgat SG6 trans,WMR,Medium,148,Boei,Gewicht verloren voor meting oktober
Spui SP 4 trans,SVN,Low/Medium,148,Spar,Low naar medium op 15 Maart 2023
Zuid Hollandsch Diep 3 trans,SVN,Low,142,Spar,
AMER - NOORDERGAT trans,SVN,Medium,148,Kabel,
